state,city,cases,solve,rate
Pennsylvania,Bucks,337,279,0.827893175074184
Pennsylvania,Butler,606,521,0.8597359735973598
Pennsylvania,Cambria,148,123,0.831081081081081
Pennsylvania,Carbon,125,122,0.976
Pennsylvania,Centre,57,50,0.8771929824561403
Pennsylvania,Chester,430,336,0.7813953488372093
Pennsylvania,Clarion,37,36,0.972972972972973
Pennsylvania,Clearfield,57,55,0.9649122807017544
Pennsylvania,Clinton,208,162,0.7788461538461539
Pennsylvania,Columbia,416,359,0.8629807692307693
Pennsylvania,Crawford,264,235,0.8901515151515151
Pennsylvania,Cumberland,1793,1383,0.7713329615170106
Pennsylvania,Dauphin,546,407,0.7454212454212454
Pennsylvania,Delaware,1274,806,0.6326530612244898
Pennsylvania,Elk,36,30,0.8333333333333334
Pennsylvania,Erie,2193,1160,0.5289557683538532
Pennsylvania,Fayette,1024,817,0.7978515625
Pennsylvania,Franklin,4793,3387,0.7066555393281869
Pennsylvania,Fulton,6503,3604,0.5542057511917576
Pennsylvania,Greene,793,687,0.8663303909205549
Pennsylvania,Huntingdon,47,40,0.851063829787234
Pennsylvania,Indiana,76,63,0.8289473684210527
Pennsylvania,Jefferson,9573,7211,0.7532643894286013
Pennsylvania,Lackawanna,121,102,0.8429752066115702
Pennsylvania,Lancaster,756,651,0.8611111111111112
Pennsylvania,Lawrence,365,293,0.8027397260273973
Pennsylvania,Lebanon,101,83,0.8217821782178217
Pennsylvania,Lehigh,453,280,0.6181015452538632
Pennsylvania,Luzerne,369,312,0.8455284552845529
Pennsylvania,Lycoming,77,61,0.7922077922077922
Pennsylvania,McKean,22,20,0.9090909090909091
Pennsylvania,Mercer,1159,836,0.7213114754098361
Pennsylvania,Montgomery,5035,3910,0.7765640516385303
Pennsylvania,Northampton,360,284,0.7888888888888889
Pennsylvania,Northumberland,69,56,0.8115942028985508
Pennsylvania,Perry,285,237,0.8315789473684211
Pennsylvania,Pike,396,347,0.8762626262626263
Pennsylvania,Schuylkill,114,98,0.8596491228070176
Pennsylvania,Somerset,304,267,0.8782894736842105
Pennsylvania,Susquehanna,40,35,0.875
Pennsylvania,Tioga,56,53,0.9464285714285714
Pennsylvania,Venango,47,42,0.8936170212765957
Pennsylvania,Washington,2302,2008,0.8722849695916595
Pennsylvania,Westmoreland,306,268,0.8758169934640523
Pennsylvania,Wyoming,102,89,0.8725490196078431
Pennsylvania,York,925,780,0.8432432432432433
Pennsylvania,Philadelphia,12851,9999,0.7780717453894639
Pennsylvania,Monroe,2447,1695,0.6926849203105844
Pennsylvania,Union,1474,1132,0.76797829036635
